Орхон,Ор,Жаргалант,49.057988,104.411289,Орхон аймаг Жаргалант сум
Сэлэнгэ,Сэ,Баруунбүрэн,49.165372,104.811802,Сэлэнгэ аймаг Баруунбүрэн сум
Сэлэнгэ,Сэ,Ерөө,49.745321,106.667118,Сэлэнгэ аймаг Ерөө сум
Сэлэнгэ,Сэ,Зүүнбүрэн,50.074115,105.879278,Сэлэнгэ аймаг Зүүнбүрэн сум
Сэлэнгэ,Сэ,Мандал,48.643833,106.763759,Сэлэнгэ аймаг Мандал сум
Сэлэнгэ,Сэ,Сайхан,49.096728,105.553358,Сэлэнгэ аймаг Сайхан сум
Сэлэнгэ,Сэ,Цагааннуур,50.112497,105.447936,Сэлэнгэ аймаг Цагааннуур сум
Сэлэнгэ,Сэ,Алтанбулаг ,50.323342,106.489384,Сэлэнгэ аймаг Алтанбулаг  сум
Сэлэнгэ,Сэ,Жавхлант ,49.742146,106.262083,Сэлэнгэ аймаг Жавхлант  сум
Сэлэнгэ,Сэ,Орхон ,49.144835,105.389469,Сэлэнгэ аймаг Орхон  сум
Сэлэнгэ,Сэ,Орхонтуул ,48.830343,104.815138,Сэлэнгэ аймаг Орхонтуул  сум
Сэлэнгэ,Сэ,Сант ,49.247706,105.379422,Сэлэнгэ аймаг Сант  сум
Сэлэнгэ,Сэ,Түшиг ,50.321928,105.042644,Сэлэнгэ аймаг Түшиг  сум
Сэлэнгэ,Сэ,Хүдэр ,49.776829,107.514954,Сэлэнгэ аймаг Хүдэр  сум
Сэлэнгэ,Сэ,Хушаат ,49.674874,105.823767,Сэлэнгэ аймаг Хушаат  сум
Сэлэнгэ,Сэ,Шаамар ,50.080149,106.170716,Сэлэнгэ аймаг Шаамар  сум
Төв ,Тө,Архуст,47.517830,107.939624,Төв  аймаг Архуст сум
Төв ,Тө,Баян,47.252057,107.540231,Төв  аймаг Баян сум
Төв ,Тө,Баянжаргалан,47.179985,108.260801,Төв  аймаг Баянжаргалан сум
Төв ,Тө,Баян-Өнжүүл,46.880827,105.936919,Төв  аймаг Баян-Өнжүүл сум
Төв ,Тө,Борнуур,48.463389,106.254514,Төв  аймаг Борнуур сум
Төв ,Тө,Бүрэн сум Булагаа баг,46.919609,105.053887,Төв  аймаг Бүрэн сум Булагаа баг сум
Төв ,Тө,Заамар,48.216816,104.772770,Төв  аймаг Заамар сум
Төв ,Тө,Сүмбэр,48.804912,105.925670,Төв  аймаг Сүмбэр сум
Төв ,Тө,Угтаалцайдам,48.256282,105.414591,Төв  аймаг Угтаалцайдам сум
Төв ,Тө,Цээл,48.456072,105.311937,Төв  аймаг Цээл сум
Төв ,Тө,Эрдэнэ,47.718840,107.795062,Төв  аймаг Эрдэнэ сум
Төв ,Тө,Эрдэнэсант,47.329716,104.493885,Төв  аймаг Эрдэнэсант сум
Төв ,Тө,Алтанбулаг ,47.698035,106.404455,Төв  аймаг Алтанбулаг  сум
Төв ,Тө,Аргалант ,47.942796,105.898633,Төв  аймаг Аргалант  сум
Төв ,Тө,Баяндэлгэр ,47.727169,108.108301,Төв  аймаг Баяндэлгэр  сум
Төв ,Тө,Баянхангай ,47.950155,105.548229,Төв  аймаг Баянхангай  сум
Төв ,Тө,Баянцагаан ,46.771085,107.141547,Төв  аймаг Баянцагаан  сум
Төв ,Тө,Баянцогт ,48.126025,105.810657,Төв  аймаг Баянцогт  сум
Төв ,Тө,Дэлгэрхаан ,46.617934,104.567399,Төв  аймаг Дэлгэрхаан  сум
Төв ,Тө,Мөнгөнморьт ,48.205956,108.483188,Төв  аймаг Мөнгөнморьт  сум
Төв ,Тө,Өндөрширээт ,47.453397,105.055346,Төв  аймаг Өндөрширээт  сум
Төв ,Тө,Сэргэлэн ,47.611255,107.020354,Төв  аймаг Сэргэлэн  сум
Дорнод,До,Баяндун,49.242554,113.373198,Дорнод аймаг Баяндун сум
Дорнод,До,Дашбалбар,49.545063,114.403810,Дорнод аймаг Дашбалбар сум
Дорнод,До,Хөлөнбуйр ,47.925141,112.962305,Дорнод аймаг Хөлөнбуйр  сум
Дорнод,До,Баянтүмэн ,48.051169,114.370809,Дорнод аймаг Баянтүмэн  сум
Дорнод,До,Булган ,47.998910,113.931720,Дорнод аймаг Булган  сум
Дорнод,До,Гурванзагал ,47.998910,113.931720,Дорнод аймаг Гурванзагал  сум
Дорнод,До,Матад ,46.952662,115.289497,Дорнод аймаг Матад  сум
Дорнод,До,Сэргэлэн ,48.507855,114.033239,Дорнод аймаг Сэргэлэн  сум
Дорнод,До,Чулуунхороот  (Эрээнцав),49.874100,115.696050,Дорнод аймаг Чулуунхороот  (Эрээнцав) сум
Сүхбаатар,Сү,Асгат,46.362892,113.579450,Сүхбаатар аймаг Асгат сум
Сүхбаатар,Сү,Баяндэлгэр,45.725114,112.358014,Сүхбаатар аймаг Баяндэлгэр сум
Сүхбаатар,Сү,Дарьганга,45.305107,113.850996,Сүхбаатар аймаг Дарьганга сум
Сүхбаатар,Сү,Мөнххаан,46.973604,112.051127,Сүхбаатар аймаг Мөнххаан сум
Сүхбаатар,Сү,Онгон,45.352964,113.138459,Сүхбаатар аймаг Онгон сум
Сүхбаатар,Сү,Түвшинширээ,46.205018,111.811809,Сүхбаатар аймаг Түвшинширээ сум
Сүхбаатар,Сү,Түмэнцогт,47.573948,112.351384,Сүхбаатар аймаг Түмэнцогт сум
Сүхбаатар,Сү,Уулбаян,46.493768,112.348487,Сүхбаатар аймаг Уулбаян сум
Сүхбаатар,Сү,Халзан,46.167586,112.949302,Сүхбаатар аймаг Халзан сум
Сүхбаатар,Сү,Эрдэнэцагаан,45.904550,115.365543,Сүхбаатар аймаг Эрдэнэцагаан сум
Сүхбаатар,Сү,Сүхбаатар,46.771800,113.882229,Сүхбаатар аймаг Сүхбаатар сум
Сүхбаатар,Сү,Наран,45.131966,113.679474,Сүхбаатар аймаг Наран сум
Хэнтий,Хэ,Баян Адарга,48.557129,111.083938,Хэнтий аймаг Баян Адарга сум
Хэнтий,Хэ,Баянмөнх,46.900451,109.761357,Хэнтий аймаг Баянмөнх сум
Хэнтий,Хэ,Биндэр,48.617396,110.604511,Хэнтий аймаг Биндэр сум
Хэнтий,Хэ,Бор-Өндөр,46.252320,109.424450,Хэнтий аймаг Бор-Өндөр сум
Хэнтий,Хэ,Галшар,46.240845,110.838575,Хэнтий аймаг Галшар сум
Хэнтий,Хэ,Дадал,49.021211,111.625375,Хэнтий аймаг Дадал сум
Хэнтий,Хэ,Дэлгэрхаан,47.175964,109.192355,Хэнтий аймаг Дэлгэрхаан сум
Хэнтий,Хэ,Хурх ,48.181271,110.308733,Хэнтий аймаг Хурх  сум
Хэнтий,Хэ,Баян-Овоо ,47.787608,112.117036,Хэнтий аймаг Баян-Овоо  сум
Хэнтий,Хэ,Баянхутаг ,47.170714,110.816847,Хэнтий аймаг Баянхутаг  сум
Хэнтий,Хэ,Дархан ,46.628097,109.408480,Хэнтий аймаг Дархан  сум
Баян-Өлгий ,БӨ,Бугат ,48.949306, 90.014879,Баян-Өлгий  аймаг Бугат  сум
Баян-Өлгий ,БӨ,Алтай ,48.300951, 89.515951,Баян-Өлгий  аймаг Алтай  сум
Баян-Өлгий ,БӨ,Алтанцөгц ,49.061273, 90.456431,Баян-Өлгий  аймаг Алтанцөгц  сум
Баян-Өлгий ,БӨ,Баяннуур ,48.948495, 91.160989,Баян-Өлгий  аймаг Баяннуур  сум
Баян-Өлгий ,БӨ,Булган ,46.926306, 91.087713,Баян-Өлгий  аймаг Булган  сум
Баян-Өлгий ,БӨ,Буянт ,48.577397, 89.549099,Баян-Өлгий  аймаг Буянт  сум
Баян-Өлгий ,БӨ,Дэлүүн ,47.865546, 90.697731,Баян-Өлгий  аймаг Дэлүүн  сум
Баян-Өлгий ,БӨ,Ногооннуур ,49.616312, 90.239052,Баян-Өлгий  аймаг Ногооннуур  сум
Баян-Өлгий ,БӨ,Цагааннуур ,49.504698, 89.728949,Баян-Өлгий  аймаг Цагааннуур  сум
Баян-Өлгий ,БӨ,Толбо ,48.410016, 90.288327,Баян-Өлгий  аймаг Толбо  сум
Баян-Өлгий ,БӨ,Улаанхус ,49.042903, 89.432982,Баян-Өлгий  аймаг Улаанхус  сум
Баян-Өлгий ,БӨ,Цэнгэл ,48.937244, 89.136579,Баян-Өлгий  аймаг Цэнгэл  сум
Баянхонгор,БХ,Баянбулаг,46.811186, 98.092181,Баянхонгор аймаг Баянбулаг сум
Баянхонгор,БХ,Бөмбөгөр,46.209552, 99.598711,Баянхонгор аймаг Бөмбөгөр сум
Баянхонгор,БХ,Хүрээ марал,46.410213, 98.285870,Баянхонгор аймаг Хүрээ марал сум
Баянхонгор,БХ,Баацагаан ,45.553993, 99.435874,Баянхонгор аймаг Баацагаан  сум
Баянхонгор,БХ,Баянговь ,44.734168,100.392201,Баянхонгор аймаг Баянговь  сум
Баянхонгор,БХ,Баянлиг ,44.542735,100.830482,Баянхонгор аймаг Баянлиг  сум
Баянхонгор,БХ,Баян-Овоо ,46.286424,100.449370,Баянхонгор аймаг Баян-Овоо  сум
Баянхонгор,БХ,Баян-Өндөр ,44.800245, 98.658589,Баянхонгор аймаг Баян-Өндөр  сум
Баянхонгор,БХ,Баянцагаан ,45.013802, 98.930033,Баянхонгор аймаг Баянцагаан  сум
Баянхонгор,БХ,Богд ,45.199512,100.767964,Баянхонгор аймаг Богд  сум
Баянхонгор,БХ,Галуут ,46.699934,100.142067,Баянхонгор аймаг Галуут  сум
